1 2   0.151453                                      0.0012183
2 4   0.150692                                      0.0012141
3 6   0.151745                                      0.0012293
4 8   0.152193                                      0.0012376
5 10   0.152418                                      0.0012419
6 12   0.152555                                      0.0012445
7 14   0.152649                                      0.0012463
8 16   0.152718                                      0.0012476
9 18   0.152769                                      0.0012486
10 20   0.152810                                      0.0012494
11 22   0.152843                                      0.0012501
12 24   0.152870                                      0.0012506
13 26   0.152892                                      0.0012510
14 28   0.152912                                      0.0012514
15 30   0.152928                                      0.0012517
16 32   0.152942                                      0.0012520
17 34   0.152954                                      0.0012522
18 36   0.152964                                      0.0012524
19 38   0.152973                                      0.0012526
20 40   0.152981                                      0.0012527
21 42   0.152989                                      0.0012529
22 44   0.152995                                      0.0012530
23 46   0.153000                                      0.0012531
24 48   0.153004                                      0.0012532
