1 8   0.151766                                      0.0012299
2 16   0.152625                                      0.0012455
3 24   0.152795                                      0.0012488
4 32   0.152876                                      0.0012505
5 40   0.152927                                      0.0012515
6 48   0.152962                                      0.0012522
7 56   0.152986                                      0.0012527
8 64   0.153002                                      0.0012530
9 72            NaN                                  0.0012532
10 80            NaN                                  0.0012534
11 88            NaN                                  0.0012536
