"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Energy: Residual","Tke: Residual","Sdr: Residual"
1.0,0.11224047813388015,0.4244512749387903,0.29203947197993513,0.11021512084343563,1.0,0.001518531691302619
2.0,1.0,0.4958814783732429,1.0,0.04398178353040876,0.09099650713227232,1.0
3.0,0.5098280491786931,0.4784431029153687,0.8005217734751038,0.8826343304323098,0.07786155048475815,0.6090265052781909
4.0,0.34085368091369384,1.0,0.7770338323737799,1.0,0.16228684561383092,0.35261055789531986
5.0,0.41954884139571463,0.7833199205003104,0.6358948748327534,0.48759568801441167,0.11773163599355667,0.19250423450698784
6.0,0.4942170403834764,0.5219538883514045,0.5471728151906076,0.16656808063486006,0.08972122769759343,0.10295266980120749
7.0,0.570329189789413,0.3575680305396852,0.5164866756149473,0.06425596360473397,0.07307196557830697,0.06324111853329559
8.0,0.8123865099142776,0.295252819334437,0.470807059360071,0.1537525897603005,0.05979691089962113,0.04927914641182604
9.0,0.6603683589271815,0.4586892684677418,0.8546506433597015,0.044970543084247694,0.05001540567554439,0.048498430988166356
10.0,0.3920072567979832,0.30688394191485713,0.42621273097954876,0.041461666587326106,0.04388919515379603,0.044559352200618664
11.0,0.3053351821146395,0.29816636574317285,0.3993634062653663,0.03351477285063667,0.03951524384337921,0.035379993695682725
12.0,0.22780223715979417,0.2470907933004734,0.2967655130808713,0.02541747221936719,0.036055970235786786,0.047068748337246016
13.0,0.2698121468852942,0.2099671993423171,0.26753140701795536,0.029659354922254494,0.033182406026272815,0.04400606779662207
14.0,0.20772393796879557,0.19237573928926655,0.2599064083872977,0.015201111007910268,0.030640108641796518,0.03433301083549961
15.0,0.14192300416206516,0.17618198693071713,0.2539444800191179,0.01251872520007673,0.02834797077743273,0.023714336492011302
16.0,0.12516401947912031,0.16422237943836862,0.24663504362774838,0.011601397414778851,0.02625701252796422,0.015020630689426726
17.0,0.12263345956469188,0.15466921292674138,0.24374269184890768,0.010800304496901007,0.024337370247190526,0.009081533092289188
18.0,0.11108222979735298,0.1472622673076477,0.24288297725476257,0.009835292674675594,0.02256770118225405,0.005308509299505245
19.0,0.11054817477607626,0.14209769251611928,0.243632317808889,0.00910452249567389,0.020934129702032532,0.002986842329438005
20.0,0.08661070905515417,0.13775015435054458,0.24453185574201508,0.008701708083645622,0.019424614491787288,0.0013001783975576657
21.0,0.0744911001533942,0.13402739402053201,0.245687528618916,0.008508564553315369,0.018027206350345958,5.892469234716561E-4
22.0,0.061388948181743196,0.13010141512506404,0.24694991875979871,0.00839424094568668,0.016730744146314015,3.5993643884556974E-4
23.0,0.04948958479917587,0.12620858226680057,0.24897348150502252,0.008130406445826212,0.01552832288896353,2.8150966950738973E-4
24.0,0.040083133741919755,0.1226901743188719,0.25156992256831456,0.007719224919268592,0.014412520529120924,2.6190619261679356E-4
25.0,0.033733233930177714,0.11951403690560852,0.2547488257019006,0.007364636075423805,0.013378442833083917,2.7082532761924655E-4
26.0,0.02925544837573005,0.11682027221950336,0.257546253033975,0.006951438933312868,0.01242151784851801,2.0227579372717751E-4
27.0,0.024635274546641345,0.11546601294601333,0.26123697621725184,0.006620334092065204,0.011536386554065114,1.625086853153784E-4
28.0,0.021685421383864915,0.1138175887074739,0.26257160139379776,0.0060530223353896,0.010717602017870916,1.544271796721735E-4
29.0,0.02005238860759257,0.1119655308994419,0.26321184659299907,0.005653957661935586,0.009958144044179362,1.1636024110619103E-4
30.0,0.017566445909103306,0.11228403019024122,0.26411765099094187,0.005397393093033878,0.009252615429772912,1.0347925166078041E-4
31.0,0.016136338793004586,0.1105631552206264,0.26340656330612083,0.0050960637674650556,0.008594921794739169,1.0201334201336033E-4
32.0,0.014972548670720608,0.10919037046015284,0.2618965829397517,0.004785217799014523,0.00798096992561976,1.032805541406531E-4
33.0,0.013999466578580616,0.10797002496446714,0.2598105549967641,0.004514127022948954,0.00740759372276419,1.0340714299475865E-4
34.0,0.0131032260584309,0.10677078135097805,0.25700455803904043,0.00422841191897475,0.00687312637707129,9.990837818397642E-5
35.0,0.012186014794575024,0.10526977669075395,0.2543702992430316,0.003925922475949082,0.006375542409905957,9.465850058811587E-5
36.0,0.011238214368189265,0.10295668151169499,0.2506304102788345,0.0036763239948022952,0.005914040761020722,8.899820583030644E-5
37.0,0.010272817104877879,0.09986057548199705,0.24646494004485858,0.0035486464643117665,0.00548661202189614,8.29861020815456E-5
38.0,0.009436597853789908,0.09582035651434148,0.24244042341934557,0.003570601635428405,0.005091416084006228,7.52621702849329E-5
39.0,0.008955508177218042,0.09100534658849647,0.23975983211087815,0.0037615871072063053,0.004725615755278505,7.215927171509221E-5
40.0,0.008931755334232036,0.08643021782242544,0.23840872971728555,0.003800796224677537,0.004387196250254343,9.586675044570438E-5
41.0,0.009219816160407181,0.08239066974483328,0.24049409913075798,0.0036455114065146502,0.004073678069063848,1.0309651585383627E-4
42.0,0.009729619395464554,0.07860453525550948,0.24499150805812084,0.003455744090702125,0.003783256348879623,1.051642453720922E-4
43.0,0.01039836424317724,0.07500038135057503,0.24769244933612172,0.0033075456008137827,0.0035136707127502932,1.2043721553828962E-4
44.0,0.011138899577095745,0.07129897824841559,0.25106828373235784,0.0032458405585136275,0.0032628474195027807,1.2577460247031007E-4
45.0,0.012029697069723141,0.06743006614553683,0.25639544071286685,0.0032114634424317873,0.003027679954300726,1.1783695352470933E-4
46.0,0.012201341321437397,0.0636501283745205,0.2632507103099967,0.002898021173389509,0.0028077640002817116,1.3450969420697107E-4
