-0.7,-0.0851,0.00967,0.00138,-0.0004,0.125,0.125
-0.6,-0.073,0.00967,0.00137,-0.0004,0.125,0.125
-0.5,-0.0608,0.00967,0.00137,-0.0003,0.125,0.125
-0.4,-0.0486,0.00966,0.00136,-0.0002,0.125,0.125
-0.3,-0.0365,0.00966,0.00136,-0.0002,0.125,0.125
-0.2,-0.0243,0.00966,0.00136,-0.0001,0.125,0.125
-0.1,-0.0122,0.00966,0.00135,-0.0001,0.125,0.125
0,0,0.00966,0.00135,0,0.125,0.125
0.1,0.0122,0.00966,0.00135,0.0001,0.125,0.125
0.2,0.0243,0.00966,0.00135,0.0001,0.125,0.125
0.3,0.0365,0.00966,0.00136,0.0002,0.125,0.125
0.4,0.0487,0.00966,0.00136,0.0002,0.125,0.125
0.5,0.0608,0.00967,0.00137,0.0003,0.125,0.125
0.6,0.073,0.00967,0.00137,0.0003,0.125,0.125
0.7,0.0852,0.00967,0.00138,0.0004,0.125,0.125
0.8,0.0973,0.00968,0.00139,0.0005,0.125,0.125
0.9,0.1095,0.00968,0.0014,0.0005,0.125,0.125
1,0.1217,0.00969,0.00141,0.0006,0.125,0.125
1.1,0.1339,0.0097,0.00142,0.0007,0.125,0.125
1.2,0.146,0.0097,0.00143,0.0007,0.125,0.125
1.3,0.1582,0.00971,0.00145,0.0008,0.125,0.125
1.4,0.1704,0.00972,0.00147,0.0009,0.125,0.125
1.5,0.1826,0.00973,0.00148,0.0009,0.125,0.125
1.6,0.1948,0.00974,0.0015,0.001,0.125,0.125
1.7,0.207,0.00975,0.00153,0.0011,0.125,0.125
1.8,0.2192,0.00976,0.00155,0.0011,0.125,0.125
1.9,0.2314,0.00977,0.00157,0.0012,0.125,0.125
2,0.2436,0.00978,0.0016,0.0013,0.125,0.125
2.1,0.2558,0.00979,0.00164,0.0014,0.125,0.125
2.2,0.268,0.00981,0.00167,0.0015,0.125,0.125
2.3,0.2802,0.00982,0.0017,0.0016,0.125,0.125
2.4,0.2924,0.00984,0.00173,0.0017,0.125,0.125
2.5,0.3046,0.00985,0.00176,0.0017,0.125,0.125
2.6,0.3169,0.00987,0.0018,0.0018,0.125,0.125
2.7,0.3291,0.00989,0.00184,0.0019,0.125,0.125
2.8,0.3413,0.0099,0.00188,0.0021,0.125,0.125
2.9,0.3536,0.00992,0.00192,0.0022,0.125,0.125
3,0.3658,0.00994,0.00196,0.0023,0.125,0.125
3.1,0.3781,0.00997,0.00201,0.0024,0.125,0.125
3.2,0.3903,0.00999,0.00206,0.0025,0.125,0.125
3.3,0.4026,0.01001,0.00211,0.0026,0.125,0.125
3.4,0.4148,0.01004,0.00217,0.0028,0.125,0.125
3.5,0.4271,0.01006,0.00222,0.0029,0.125,0.125
3.6,0.4394,0.01009,0.00228,0.0031,0.125,0.125
3.7,0.4517,0.01012,0.00235,0.0032,0.125,0.125
3.8,0.4632,0.01023,0.00244,0.0035,0.1115,0.125
3.9,0.4742,0.0104,0.00256,0.0038,0.094,0.125
4,0.4851,0.01058,0.00268,0.0041,0.0811,0.125
4.1,0.4961,0.01075,0.00281,0.0044,0.0704,0.125
4.2,0.5074,0.01089,0.00293,0.0047,0.0615,0.125
4.3,0.519,0.011,0.00304,0.005,0.0546,0.125
4.4,0.5304,0.01114,0.00317,0.0053,0.0487,0.125
4.5,0.5419,0.01125,0.00329,0.0055,0.0444,0.125
4.6,0.5531,0.01141,0.00344,0.0059,0.0397,0.125
4.7,0.5648,0.01151,0.00357,0.0062,0.037,0.125
4.8,0.5759,0.01167,0.00372,0.0065,0.0346,0.125
4.9,0.5875,0.01179,0.00386,0.0069,0.0324,0.125
5,0.5985,0.01196,0.00404,0.0073,0.0303,0.125
5.1,0.61,0.01209,0.0042,0.0076,0.0287,0.125
