"Iteration","c_d Monitor: c_d Monitor","c_l Monitor: c_l Monitor"
1.0,3.903061356434093,3.74306350641846
2.0,2.9437977905301587,2.6963500322088367
3.0,1.4464755609759916,1.331973711421473
4.0,0.7445997968361104,0.5404706357776217
5.0,0.42304677189486595,0.43976524100419007
6.0,0.24839943169900097,0.4412189750630069
7.0,0.13045483035312266,0.42649889681691594
8.0,0.07065476469266363,0.435659826272456
9.0,0.06659019304879177,0.4903084105829689
10.0,0.07958001346371582,0.5172084908939476
11.0,0.11217288801521229,0.5431207339870816
12.0,0.11295158544867075,0.5722793531164243
13.0,0.11269623133371415,0.6015854569701324
14.0,0.1082586411382071,0.6177685215810922
15.0,0.10138152046037656,0.6385068225880502
16.0,0.0944555385455302,0.6531734840706501
17.0,0.08814386933695842,0.665292317642049
18.0,0.08303361968200362,0.6725593535616403
19.0,0.07741451288289446,0.6864791987029866
20.0,0.07354383623501966,0.6931362663211934
21.0,0.06931503350974567,0.707544145712135
22.0,0.06615884475515672,0.7133886086149587
23.0,0.06287846856582155,0.7260186744054591
24.0,0.06003510637819269,0.7358586638763602
25.0,0.0575089578733869,0.7420211515359826
26.0,0.05492990158689265,0.7517249970291782
27.0,0.052639317396266594,0.7584269192882014
28.0,0.05033760670690897,0.7671103817735027
29.0,0.048384903356597286,0.7731135903912362
30.0,0.046415129073119045,0.7789306410653362
31.0,0.044539857548554385,0.7843338945284617
32.0,0.04279684206444748,0.7893351503481304
33.0,0.04119062031209269,0.7939536217557346
34.0,0.03970844043915322,0.7981981334629842
35.0,0.03835434232896944,0.802097253193239
36.0,0.0371306777978466,0.8057956068640403
37.0,0.03600948465781704,0.8091625411000701
38.0,0.034962694538540916,0.8123447568683861
39.0,0.034001927862641494,0.8153287053392619
40.0,0.03311412878903787,0.8181617792868471
41.0,0.03230023676841858,0.8208284647352054
42.0,0.03154275697448792,0.8234126290383182
43.0,0.0308511867894909,0.8258882511984874
44.0,0.03022598165793785,0.8281947195897481
45.0,0.029659323774711636,0.8304735250519849
46.0,0.029153198501989518,0.8326091510600974
47.0,0.028702230700616026,0.8348170156993292
48.0,0.028316108828068495,0.8371462726043548
49.0,0.028003328563609264,0.83953303705141
50.0,0.02775318726251226,0.8419587674610978
51.0,0.02755349651238098,0.8444661514956706
52.0,0.027398385222925592,0.8472082459489814
53.0,0.02728837158976534,0.8501570871140245
54.0,0.02720891603453869,0.8532061903445429
55.0,0.027153871536244586,0.8562567088565046
56.0,0.027116762255570817,0.8592316055432236
57.0,0.027092683076276866,0.8620884494049577
58.0,0.027083144023532943,0.864911489568004
59.0,0.027086998304184415,0.8677472755346132
