# AG16 airfoil polar
# Re = 300023
# alpha | C_l | C_d
-3.03	-0.078	0.0084
-1.84	0.038	0.0073
-1.47	0.08	0.0073
-0.99	0.136	0.0067
-0.46	0.199	0.0056
0.02	0.278	0.0062
1.08	0.383	0.0071
2.09	0.494	0.008
3.1	0.598	0.0093
4.15	0.703	0.0107
5.21	0.809	0.0127
6.22	0.904	0.0157
7.3	0.998	0.0199
8.23	1.068	0.0245
9.29	1.128	0.034
10.14	1.14	0.132
11.22	1.121	0.1643

