"Region: Subtract.aerofoil.Default: Direction [1,0,0] (m)","Region: Subtract.aerofoil.Default: Pressure Coefficient"
0.4688720833592527,0.23991112522421904
0.4642333333765436,0.23998969668448122
0.45959366670123486,0.24012225555983277
0.450312000043232,0.24033447213330913
0.45495341669260153,0.24025401314698655
0.4456700000345856,0.24045417148244105
0.4410271666926183,0.24060557924142303
0.43638266670992976,0.24076327326874852
0.4317373333679438,0.24096216798034364
0.42709100002597267,0.24114823416681336
0.42244266670996694,0.24128127279139805
0.41779333336797353,0.24142343256271293
0.41314308335932715,0.24160523735987366
0.40849100004333444,0.24180589914721307
0.4038380000346676,0.24201724753070558
0.3991852500259969,0.242244204495938
0.39453300004332503,0.24246535039599162
0.38988100003466003,0.2426674387670445
0.38522991669264806,0.24293732757249423
0.3805806667099576,0.24328463561538427
0.37593233336796605,0.24361636157597658
0.37128500002595966,0.24396924006113152
0.3666396667099203,0.2443447162956246
0.3619953333679362,0.2446626954387768
0.3573520833592694,0.24506055502999066
0.3527110000432133,0.24557269622448905
0.3480710000345707,0.24602989752017215
0.343431916692581,0.24653639598850455
0.33879466670984587,0.2471260259600877
0.3341583333678767,0.247627909386768
0.329523333359221,0.2482191769692455
0.32489100004312954,0.24895459045127374
0.3202600000345036,0.24958812700120503
0.3156299166925307,0.2503117722870723
0.31100166670976204,0.2511961900331642
0.3063743333678096,0.2519542086096809
0.30174800002584234,0.2528435196915738
0.2971236667097248,0.2539825263003038
0.29250033336777986,0.25499846975660845
0.28787825002581624,0.2560299690051538
0.2832586667096782,0.25714866028044975
0.2786403333677426,0.2580617360699833
0.27402300002579205,0.25909024652447593
0.269407666709641,0.2603369700604083
0.26479333336771277,0.26135886791870916
0.2601798333591055,0.26258467383534
0.2555680000429433,0.26417175652936375
0.2509570000343546,0.2655221952258381
0.24634741669241153,0.26703771292486006
0.24174066670955716,0.2688924174184887
0.2371353333676457,0.27045212241597877
0.2325309166923873,0.27223977726206866
0.2279283333761897,0.27446739799773484
0.22332666670095175,0.2763576345480962
0.21872633335902725,0.27850216266596084
0.21412866670947334,0.28115350782684057
0.2095323333675787,0.2834264207421796
0.20493758335899376,0.2859847690424593
0.20034600004274772,0.28913503453245826
0.19575600003419819,0.29186251386468665
0.19116758335895837,0.2949097753609176
0.18658233337602206,0.2986033473444429
0.18199866670081766,0.3017873072252295
0.17741700002558342,0.30536146202632897
0.17283933337594753,0.3097363680499796
0.16826366670075804,0.3135606638383765
0.16369075002552755,0.3178507406528054
0.1591233333758451,0.32311972381328663
0.15455866670067608,0.3277842976168812
0.14999683335879818,0.3330001665444197
0.1454406667090729,0.33928762093467973
0.14088733336725834,0.3449548783604653
0.13633816669204835,0.35121955649066333
0.13179733337558436,0.35871724132696065
0.12726066670046748,0.3654630274421483
0.12272875002527982,0.3728953284869009
0.11820633337540737,0.3815724443590667
0.11368866670032592,0.38950824699728337
0.10917758335847969,0.3983191428060849
0.10467966670849548,0.4088065649012607
0.10018833336679638,0.4186495794790231
0.09570583335829899,0.42979932918811997
0.09124100004149975,0.44288238675091485
0.0867850000331998,0.4553602327492306
0.08234191669137403,0.4692779331987238
0.07792466670768522,0.48545182747443655
0.07352033336614817,0.5008702955529498
0.0691350833576601,0.5183788446012131
0.06478800004030764,0.538637414450119
0.060460000032246115,0.558266668457376
0.05616375002371147,0.5805552106823759
0.05193100003912486,0.6064834961311584
0.04773000003129989,0.6315276402551147
0.043594833355827256,0.6598911616845499
0.03959133337000571,0.6925117532039582
0.035653666696004574,0.7238728505846859
0.03184841668669693,0.7591120364202741
0.028308000050783155,0.7986712415132591
0.024900000063478946,0.837220705796098
0.9860576666294262,0.0021957159629411283
0.9819295833100249,-0.003013712911780084
0.9775426666330175,-0.006656047942350042
0.9315146666235495,-0.05321189354202412
0.9268847499741278,-0.05775806098931296
0.9222543332988322,-0.06226294819787739
0.9176236666235403,-0.06677709422202716
0.9129929166407903,-0.07127940244594422
0.9900563333035408,0.003901637812836259
0.9730263332912717,-0.011715148932823266
0.9684850833079106,-0.016206057855898938
0.9638939999656082,-0.021012699304433065
0.9592779999570101,-0.025605643666230003
0.9500326666321756,-0.0348780853255635
0.954658666640848,-0.030261007524029028
0.9454033332902194,-0.03951157372489639
0.9361443332988396,-0.04864999373512736
0.9407739166407976,-0.044095217377519175
0.9083619999654964,-0.07576356670685261
0.9037309999568705,-0.0802612127526513
0.9937972083482631,0.08614574526581918
0.9937962083258852,0.01037829122137227
0.9970285,0.047183702443530255
0.9970185000000001,-0.0010840126017347387
0.9992411250000001,0.013486337436042994
0.9992578749999999,0.1106354153960661
0.9999867499999999,-0.11068940408346092
0.9999962499999999,-0.18618348231161308
0.8991002499741242,-0.08474252317958259
0.8944699999655038,-0.08919057409815756
0.8898399999568798,-0.09365565022514058
0.885209916640794,-0.0980901698509568
0.8018903333074692,-0.17598966733461174
0.8250329999655187,-0.15463691520752668
0.829660999974139,-0.1503894218926757
0.8805796666321679,-0.10248518848688586
0.38564291664089256,-0.6412799423101134
0.7926346666235682,-0.18445374449801258
0.7972623332988545,-0.18019394968767388
0.8065189999568891,-0.17172833076504818
0.8111479999655112,-0.16744065655544815
0.8204049999568983,-0.15892984513003008
0.8157767499741371,-0.16320315986068934
0.8574328333074674,-0.12444526215697044
0.8342889999568983,-0.1460934603642317
0.8389169999655186,-0.14176826023354158
0.8528036666321754,-0.12877847552555036
0.8481743332902193,-0.13314525879768824
0.8435453333074674,-0.13748310050412918
0.8620616666235588,-0.12007250596564126
0.866690333298847,-0.11567725378470874
