"Region: Subtract.aerofoil.Default: Direction [1,0,0] (m)","Region: Subtract.aerofoil.Default: Pressure Coefficient"
0.7880064999999999,-0.1933620352321842
0.7741212499999999,-0.20541788227584332
0.76023475,-0.2176384988308443
0.746348,-0.22994183040188718
0.73245925,-0.2423955042395672
0.718569,-0.25490044503143205
0.70468,-0.26763507512295026
0.69079125,-0.28030170126619836
0.676902,-0.2930692777079999
0.66301475,-0.30637841126040866
0.64912925,-0.32013223153184345
0.6352435,-0.333895609335945
0.621359,-0.34765719214232793
0.60747675,-0.3619715866476365
0.5935950000000001,-0.3765165784637495
0.57971425,-0.3911878866630538
0.5658365,-0.40632278957094325
0.5519605,-0.42161460369856596
0.53808475,-0.43729806012078515
0.52421175,-0.453332085411065
0.51034275,-0.4696371655938172
0.4964747500000001,-0.4863018992237052
0.48260749999999997,-0.5034487401723653
0.46874425,-0.5210910732798805
0.454885,-0.539100063442802
0.44102825,-0.5577152162699097
0.42717574999999997,-0.5768343759426252
0.41332824999999995,-0.596454172604212
0.399484,-0.6166830763732123
0.38564475,-0.6375184453865155
0.37181299999999995,-0.658992104971524
0.35798674999999996,-0.6812796804295227
0.34416625,-0.7044121218608943
0.330356,-0.7284137552125777
0.31655574999999997,-0.7532506321196466
0.30276424999999996,-0.7790446337779938
0.288986,-0.8058781235103678
0.27522175000000004,-0.8339852481225918
0.26147050000000005,-0.8634844824827499
0.2477375,-0.8944801573111812
0.23402525000000002,-0.9269957335141222
0.220335,-0.9613310359507979
0.206673,-0.9979472011034736
0.19304350000000003,-1.037030007050909
0.17945300000000003,-1.0788140822673737
0.8018909999999999,-0.18128768459042652
0.8157762500000001,-0.16920427317982328
0.829661,-0.15720979974115773
0.8435459999999999,-0.145259180932882
0.8574324999999999,-0.1333832610001636
0.87132025,-0.12150249260176836
0.88520975,-0.1097112254663567
0.8991007499999999,-0.0977525600169846
0.9129927499999999,-0.08591233302663323
0.92688425,-0.07416277895823584
0.94077375,-0.06326446091160406
0.954652,-0.05109030226768312
0.96843525,-0.04250631869446656
0.9816707500000001,-0.02698925142683389
0.9925377500000001,-0.026982978820015116
0.99850025,-0.006204335235117812
0.9999867499999999,-0.14477955878022922
0.9999962499999999,-0.23757230158480958
0.99851475,0.10668492404094362
0.9925365000000002,0.061744160070804056
0.9816342499999999,0.10606024772814436
0.96835325,0.11526137248077709
0.9545430000000001,0.1313908429133002
0.9406577500000001,0.1409831579535426
0.9267667500000001,0.15038623578300533
0.9128767500000001,0.1583650203242925
0.8989875,0.1658831317156599
0.88509875,0.17253107235951554
0.8712114999999999,0.1784433400980589
0.8573259999999999,0.18384679181029764
0.843442,0.18884735304762912
0.8295604999999999,0.1934692824186025
0.815681,0.1977830265480205
0.8018035,0.20170030494535998
0.7879305,0.20522111027833867
0.7740619999999999,0.20852221113374786
0.76019575,0.21155763062742186
0.746332,0.21433103928826439
0.73247075,0.21694015143354184
0.7186109999999999,0.21930792331752652
0.7047534999999998,0.22144463869148373
0.6908982499999998,0.22342095996751554
0.6770437499999999,0.22517538451873936
0.66318875,0.22674071214138689
0.64933275,0.22819770955612553
0.63547475,0.22950889188123574
0.621613,0.23065411761023064
0.60774675,0.23167151746969955
0.5938764999999999,0.23255140981800765
0.5800022499999999,0.233306366116909
0.56612375,0.2339903000034494
0.55224225,0.2346015088078062
0.538358,0.23508759294971301
0.5244694999999999,0.23546801215740545
0.51057675,0.23580943002393856
0.49668049999999997,0.23613666457086235
0.48277925,0.23644146794092274
0.46887025,0.236706423879549
0.45495224999999995,0.23697045633501385
0.44102549999999996,0.23730285999373887
0.42708900000000005,0.2376878719794548
0.41314125000000007,0.23811609458390212
0.39918575,0.23863532968916198
0.38523175,0.2393154090461459
0.371287,0.24016149362277142
0.35735425,0.24124022117848637
0.34343375,0.24259005076501428
0.329526,0.24419417199748455
0.31563175,0.24616312500406015
0.30174999999999996,0.24862679457329553
0.28788075,0.2514558562043305
0.274025,0.25450208292044785
0.26018149999999995,0.2579535439120269
0.24635025,0.262126645531034
0.23253275,0.2672438472788508
0.218729,0.2733389530410613
0.20494075,0.28053193978257956
0.19117075,0.2892301879306534
0.177421,0.29952841678000747
0.16369625,0.31175249928303306
0.1500025,0.32669418057742167
0.1363465,0.34447100926917895
0.12273825000000001,0.36611623987398384
0.10919075,0.39166349669127554
0.0957235,0.4227935294594771
0.08236775,0.4612249664583687
0.06917324999999999,0.5100503559040585
0.05622725,0.5724720206710743
0.0437265,0.6517015823522652
0.032113249999999996,0.7507610451155399
0.022121000000000002,0.8612982319878711
0.014428250000000004,0.9752593404773561
0.009087750000000002,1.0219271918697581
0.00512575,0.9479401232711973
0.00197925,0.2979639289455324
5.74E-4,-1.4950598233133268
0.001504,-3.215149150574314
0.004019000000000001,-3.059144824032591
0.007337250000000001,-2.8730332988879397
0.0119305,-2.5663948035503963
0.018603999999999996,-2.2940001605338587
0.027393999999999998,-2.0780007079823997
0.037807,-1.917318730676277
0.049233,-1.7844485769726932
0.061268,-1.6716266831053976
0.07370125,-1.5750247796120023
0.08641799999999998,-1.4896407598207981
0.09934949999999998,-1.41293516821515
0.1124475,-1.3437067620880292
0.1256765,-1.2811662985971695
0.13900875000000001,-1.2243216283645968
0.15242550000000002,-1.1718383059354007
0.16591125,-1.1234813929119691
