"Iteration","c_d Monitor: c_d Monitor","c_l Monitor: c_l Monitor"
1.0,3.638306001684416,3.358316475753647
2.0,2.736235763638378,2.5826131227674827
3.0,1.2498307939768336,1.2345753054487423
4.0,0.6856310433423461,0.9289878366067852
5.0,0.35682069485836787,0.5531313913241376
6.0,0.20369950025227282,0.42102877843246767
7.0,0.14003188309925496,0.3718372738714335
8.0,0.11137360186979761,0.39146907281852183
9.0,0.10321906920148072,0.46040000378411317
10.0,0.09475535722871406,0.4890026032659097
11.0,0.09168121641342103,0.535630179120074
12.0,0.08981373152243508,0.5850580883303791
13.0,0.08388213370662854,0.6005016142639775
14.0,0.07952719686107088,0.6288986397459447
15.0,0.07431142032148312,0.6415993799039428
16.0,0.06943692212802036,0.6570493942184046
17.0,0.06512019147601192,0.667145492869369
18.0,0.06130790346925902,0.6787760289863706
19.0,0.05808268395794622,0.6916556236834587
20.0,0.05526146557847798,0.7037726236569861
21.0,0.052746845459604196,0.7149186285542731
22.0,0.05047201472789903,0.7250173151547493
23.0,0.04837450275392191,0.7341878330421836
24.0,0.04643834491874542,0.7427648883308822
25.0,0.044651390341737936,0.7508235487582811
26.0,0.042985085849841176,0.7583920199259602
27.0,0.04141760865791523,0.7654665700325692
28.0,0.03993496921822531,0.7720535228749553
29.0,0.03853441410214965,0.7781613603260852
30.0,0.03721121810271055,0.7837875893646611
31.0,0.0359657931442307,0.7889748377530301
32.0,0.034907861755786494,0.7925217940373449
33.0,0.03376217904219238,0.7983128423655127
34.0,0.03281376816378691,0.8029317766331535
35.0,0.032016582907924515,0.8054050484816115
36.0,0.03109921801164007,0.8099791572750639
37.0,0.030466794441501764,0.812310071949075
38.0,0.029797707762926735,0.8163939915523255
39.0,0.02925746240913106,0.819027028708226
40.0,0.02869033658322847,0.8223464352553879
41.0,0.028229457295417086,0.8249488346029218
42.0,0.027811373825766518,0.8279975855232415
43.0,0.027428061628329163,0.8302554429295141
44.0,0.027105311359806247,0.8326778788021011
45.0,0.02687460580391947,0.8357098927933779
46.0,0.026690195845683086,0.8379899814769435
47.0,0.02653450653679528,0.8403296568922409
48.0,0.026481135564202694,0.8440242036966069
49.0,0.026406863708894432,0.8469595801137613
50.0,0.026310646936011275,0.8493478489269677
51.0,0.026285577168662436,0.852386323564633
52.0,0.02625426566110814,0.8548612687086701
53.0,0.02625928162648919,0.8577042680616618
54.0,0.02628936456785262,0.8606723033529005
55.0,0.026352688207864294,0.8638600891278566
56.0,0.02644828109884853,0.8673921168151748
57.0,0.026533387582956217,0.8706095965114105
58.0,0.02659151040578675,0.8735980810907223
59.0,0.026626719284895656,0.8765010509174012
60.0,0.02665079320539601,0.8792777293701127
61.0,0.026740352751149568,0.8834896421756697
62.0,0.026696790126217243,0.8861227302561179
63.0,0.026602117722642094,0.8882495402935673
64.0,0.02651957178748654,0.8903672044878107
65.0,0.02649698717789578,0.8926225331754619
66.0,0.026486451486452664,0.8949814142705748
67.0,0.026467964834189298,0.8972808141083888
68.0,0.026454625915924623,0.8994760500972316
69.0,0.026441224103760624,0.9015444209408794
70.0,0.02640215449039006,0.9028440354596596
71.0,0.026350291974681264,0.9046374556909366
72.0,0.026310786231686242,0.9064503926435071
73.0,0.026251530963484287,0.9079597341694955
74.0,0.026157052424802166,0.9090497002250988
75.0,0.02601823272410128,0.9097545711947927
76.0,0.02595010153046741,0.9099881786871835
77.0,0.025666339215984282,0.9108090035989068
78.0,0.025579963007762704,0.9109383417917272
79.0,0.0253859524915844,0.9111477287908519
80.0,0.02519360570013375,0.911403941614932
81.0,0.025013228048130456,0.9116073419307352
82.0,0.024836839178381892,0.9117562276992462
83.0,0.024662626830487977,0.9118584539343431
84.0,0.02449579087115647,0.9119361651568845
85.0,0.02434723263368191,0.9120356248218189
86.0,0.024219068543213304,0.9121878900548291
87.0,0.024109480198268404,0.9123964342354519
88.0,0.024022086680504914,0.912689326269948
89.0,0.02394014739170626,0.9129955110707263
90.0,0.023859537323246957,0.9132866402066114
91.0,0.02377462873305833,0.9135153068380067
92.0,0.023687192284273517,0.9136936552259771
93.0,0.02359008232111484,0.9137730285515293
94.0,0.0234809575306882,0.9137416118382908
95.0,0.023360065043425984,0.9135960125347952
96.0,0.023228871064059173,0.9133393406544974
97.0,0.023087877495118148,0.9129782521829827
98.0,0.02293927980815698,0.9125225366373312
99.0,0.022785271197866386,0.9119862817435999
100.0,0.022628534109356835,0.9113867609151409
101.0,0.02247138934127027,0.9107366264892958
102.0,0.022316096872165375,0.9100500071975408
103.0,0.022170538186346594,0.90936838381318
104.0,0.022025459895433044,0.9086551984569945
105.0,0.0218827594603396,0.9079225131114845
106.0,0.02174347203935799,0.9071768178577619
107.0,0.02160611718339965,0.9064131298309042
108.0,0.021471997458073017,0.9056350646895159
109.0,0.021338972276377405,0.9048311636717957
110.0,0.021205516207043792,0.9039940251315483
111.0,0.02107042084055856,0.9031170730818622
112.0,0.020932643695819805,0.9021944423362255
113.0,0.020791360055928756,0.9012221981072637
114.0,0.02064586778990561,0.9001967654605627
115.0,0.02049634392176969,0.8991174920257695
116.0,0.02034283851522735,0.8979845452336012
117.0,0.02018586397634628,0.8968006096581481
118.0,0.020026566133251836,0.8955724496930343
119.0,0.01986616945193556,0.89430759024866
120.0,0.01970678837957736,0.893018117800398
121.0,0.019550210629618342,0.8917138090668122
122.0,0.019398540352788263,0.8904082476659346
123.0,0.019252444191135296,0.8891059436602804
124.0,0.019116039001935592,0.8878334039833979
125.0,0.018990074433830384,0.886596202401423
126.0,0.0188754852926869,0.8854016918354515
127.0,0.01877298706605196,0.8842566579875369
128.0,0.01868326127437922,0.883167871063807
129.0,0.01860678405198199,0.8821406592856108
130.0,0.0185436548279648,0.8811785700779006
131.0,0.018493514081478826,0.8802796956590241
132.0,0.01845632027073689,0.8794459708490832
133.0,0.01843259649384739,0.8786866429449829
134.0,0.018422412328781432,0.8780067669080759
135.0,0.01842589417766756,0.877409232507201
136.0,0.018434844736224504,0.8767222516106926
137.0,0.0184670088181592,0.8764336195516832
138.0,0.018514632564111136,0.8760665435535762
139.0,0.018562605366343868,0.8758891308565201
140.0,0.01862570720679961,0.8756536868482214
141.0,0.018680657121287317,0.8755501139690276
142.0,0.018753615548839656,0.8754363732707352
143.0,0.018823668153772025,0.8754097298782468
144.0,0.018896696950757894,0.8754579637529962
145.0,0.01897261491579963,0.875563129677428
146.0,0.019050004712179727,0.8757146276022192
147.0,0.019127784626706237,0.8759094824684694
148.0,0.01920511449082253,0.8761462388490622
149.0,0.0192815746492227,0.8764245703289693
150.0,0.019356798866312266,0.876743383343042
151.0,0.01942925621019828,0.8770950985375727
