"y=0.4: Direction [0,0,1] (m)","y=0.4: Pressure Coefficient","y=0.925: Direction [0,0,1] (m)","y=0.925: Pressure Coefficient"
-0.006201568356355382,-0.07621988913021982,-0.0021570261850016735,0.09567805708967701
-0.003186668750702213,0.16643926093466205,0.0016770443157359848,-0.5561521775621066
-0.004035551184766799,0.08393787395767703,0.0022781619632492433,-0.5384272118170683
-0.002729574738850642,0.23428155207542548,0.002583866445364081,-0.5048521296306026
-0.0069088131637147655,-0.09705902439652245,-0.0015487978485740905,0.21152791876810606
-0.007231185584880463,-0.09912862448161389,-0.0017631657427286378,0.19095613318538798
-0.003587382826951364,0.11009045210630267,-0.003137734984501237,-0.06564236330883587
-0.0045876975047333506,0.03282427940963422,-0.0028152056804514785,-0.0312483494100087
-0.006215936964308126,-0.051040572662525624,-0.0025010530084758377,0.015295083985169503
-0.005847984690242801,-0.05432250189456915,0.001967551362385751,-0.5763387237395384
-0.005558760700727752,-0.01800938589664129,5.572350524492237E-4,-0.0570203057999235
-0.005123564833706209,-0.01743851974868358,0.0013627982183957096,-0.5533666309834779
-0.002203731607890662,0.3236100162554808,0.002943825455596968,-0.4801382477175858
-0.0016114900428880821,0.465645268500049,0.003315355158259005,-0.4559059955029415
-0.0075329351808825756,-0.11936377925246096,-0.0010948775010222898,0.36375515770733413
-0.006794528446590052,-0.08466824898148358,-0.0013504629008400148,0.3484014712793199
-0.008332589685306216,-0.15763136755403914,-2.0825734769819182E-4,0.6068819793597527
-8.491338599314782E-4,0.5839628952482312,3.1489581764550145E-5,0.08624064638289611
-0.008271837211042195,-0.15756767222183998,-2.8095818546532023E-5,0.586858690976557
-0.00801186068577477,-0.14376052693217808,2.3492896537939892E-4,0.0871694150842902
-0.0073452314874460425,-0.10992215992494866,9.439302036582435E-4,-0.060812772789839
-0.008177946179944528,-0.1508021915891105,0.003993139200832417,-0.4154802465277993
-0.007813754965782915,-0.13449842587531352,0.0036554469678327286,-0.4409482899176671
-2.0749205607621692E-4,0.4975533726324729,-5.13787260757761E-4,0.6502343908095527
2.1278503772105466E-4,0.190480585673722,-8.475736132060121E-4,0.6413510154346452
8.783222550122115E-4,0.11648205736637642,0.004241787798318207,-0.3877106792531355
0.0016449713570356509,-0.32950465827539993,0.004311856003058476,-0.3412505478785275
0.0021389804908572615,-0.4316822793454823,0.0042911746780699925,-0.3366368884625943
0.002574314747683574,-0.44718625350116353,0.004152664965488383,-0.2753662424979355
0.0030751339395605004,-0.44369062703614687,0.0032481598609792875,-0.1430940700254005
0.0035589281594536606,-0.4429070421042414,0.0026488833644273896,-0.08953134756380164
0.004055373433627658,-0.43819106361121873,0.0020659774317168303,-0.04647351910555076
0.004486267646888524,-0.43485631678511716,0.003783309248789099,-0.20623720927266903
0.004949456951324554,-0.4219298096767865,0.0016422042042997013,-0.01504380554583678
0.005568043589579902,-0.4130573442511147,0.0013345732253432813,0.0038178902780107967
0.006080451851629936,-0.4063298164981381,0.0011657788810240264,0.010013441626294337
0.006573425790148673,-0.3878671756754147,0.0010543429111286614,0.024389943169164867
0.006903355411822319,-0.3914689691696601,8.501719271978346E-4,0.03108194609426076
0.0072511042690233205,-0.37650944652001395,6.671010624481699E-4,0.047753083273562265
0.007804732627051019,-0.3679134679549921,3.800642814878139E-4,0.06692484008304839
0.0043499560344123014,-0.0827827569674289,5.02480328871632E-4,0.058748124923940874
0.00516362700866519,-0.10792064578100928,2.8329301059190333E-4,0.0748696360538633
0.008310048108286647,-0.33378829173992103,1.9393832726746625E-4,0.08150289071473288
0.008160033076636534,-0.3565941304506107,1.0303471053327068E-4,0.09532397882607199
0.008238348898560042,-0.3178112339015745,2.5342935206381702E-5,0.08447353710170168
0.00602130669752788,-0.14578988503703938,-3.513394169426671E-5,0.08804413358135976
0.007040414129947108,-0.19223518996598613,-9.832257298977084E-5,0.09687170839944453
0.007919444904216399,-0.27210588680817177,-1.8445019076030904E-4,0.08494129913591003
0.007418759114548937,-0.22677879551039873,-0.0034146606751144096,-0.07658947280636076
0.006651910258822418,-0.18168051129471224,-3.4554677638260275E-4,0.07033427746052281
-0.005452439511620713,-0.0554089428800689,-4.7875895922938367E-4,0.06696014777221718
-0.00584138452465455,-0.05818945513869131,-0.003692698843870329,-0.12198105204971438
-0.006562883004306046,-0.07903418471087736,-6.947816139411052E-4,0.05561863757444766
7.309245696892566E-4,0.0609535957133967,-5.48789376376918E-4,0.0593979855640239
6.527191996571265E-4,0.06000304003567702,-9.503243799512905E-4,0.03659075534905007
9.324976774481308E-4,0.047898332530639055,-0.004009670620661556,-0.14571220277626737
0.0011893680494249144,0.03999945194786368,-0.0012784596446672157,0.018558994033433578
5.201395159202736E-4,0.06935477104641082,-0.004245418725924967,-0.174256595114682
0.0012989519934945167,0.03025227751366163,-0.001592593334705913,-8.169744145956449E-5
0.0015512104080974212,0.0230706169330755,-0.004291382525802729,-0.18521953038927752
3.6666822628011336E-4,0.07690149738398196,-0.00431240627926247,-0.18063000141899793
2.4280884658924961E-4,0.08351593042122309,-0.0020659875959839705,-0.02176883443072602
0.002076863789624689,0.0016441211200161226,-0.002683930725080831,-0.053625501570508216
0.002641835759456725,-0.021706958543424876,-0.0032589024886200578,-0.08563130299684221
0.003233522214020394,-0.0397161223502967,-0.004153631665589352,-0.16023194134203178
2.8133774601124263E-4,0.08625867541915785,-0.0037873791113425055,-0.12307307579350271
1.8470063215272233E-4,0.0905693171679281,null,null
0.0029989067679207643,-0.02691256550320355,null,null
0.0037130842845209,-0.053026422495855985,null,null
