"y=0.4: Direction [0,0,1] (m)","y=0.4: Pressure Coefficient","y=0.925: Direction [0,0,1] (m)","y=0.925: Pressure Coefficient"
-3.105640575078802E-4,0.7263311797859322,-0.0016003497116271232,0.07267791096241358
-0.0011630864145900433,0.7319098772935023,-0.003346553506095907,-0.09268446843981522
1.0116046745606641E-4,0.4012732368328568,-0.0038906234275258226,-0.1533568097722303
3.8768398220787866E-4,0.44553281781762494,-0.0020602584476242932,0.03539197979743498
-0.0021348041117769958,0.40714268298904177,-0.003577234813205726,-0.10347562932509263
-0.0025907125935201065,0.3959348919122049,-0.0012399437205102147,0.10623185056863176
0.0011821875755114249,0.3638797433075897,-0.0030218860954212166,-0.03772339037364534
-0.0028602130918578923,0.2255681644966735,-0.003714482767025667,-0.14414465953329658
-0.0033434122353298793,0.21109279522816157,-0.00414456692910555,-0.19978961894003208
0.002224431837870959,-0.33314416367486177,-0.004301559372214841,-0.22067178322868042
0.002981890728011077,-0.48536740682651375,-0.0026619782732054008,-0.012570968820493422
-0.0038694916984032207,0.11036682415536897,-0.0035210309094180076,-0.12966090024790072
0.003934295338148246,-0.5623649606337786,-0.0032394202936992453,-0.0666883475387499
0.003589030302206922,-0.5507217558494476,-0.004275821017506325,-0.23989399131301
-0.004377908783856738,0.0511796700016325,-0.004002937423779377,-0.19493437430997226
0.004299003535887316,-0.5615820939100548,-7.281765473908997E-4,0.1360681548964588
3.775643628763503E-5,0.2388766936973439,-9.003107925318775E-4,0.1370762735984769
-5.0433796181582573E-5,0.2728382075003508,-0.0025963949888337013,0.032664889211024416
-0.005265447076717986,-0.023554922954856148,-0.0043300443444291205,-0.23289266025056715
-0.004868006422990118,-0.013101950368909784,-0.003727986532793214,-0.11072245356913679
0.004844806266576842,-0.5575247037587403,-0.004163087393679276,-0.1886180254165405
1.546511431949133E-4,0.255313626199015,-3.4955249533679723E-4,0.19194754340174808
-1.650133714781314E-4,0.2566321036300652,-5.71840604695851E-4,0.170684110603796
-2.8056670624723284E-4,0.23561124506807157,-0.0021416136917752687,0.12942098840752245
-0.005640153189998855,-0.07673623871012068,-1.731163268408975E-4,0.21866512950950573
0.005375202651000023,-0.5706339168559584,-0.0016509396842975354,0.26757062209132165
3.285991515475469E-4,0.22723099892318108,-4.280648634529751E-5,0.2400232387129053
-4.086356470664609E-4,0.22634170466212006,-8.845405805046791E-4,0.7585099496723
-0.006178304358751049,-0.09978668676873506,-1.1048528108565558E-4,0.7229357529880958
0.006067868389613432,-0.5856903717955186,5.674098479502968E-5,0.20247997223125902
7.186163474655178E-4,0.1811767341025914,-3.011141841713702E-4,0.7438507371625751
5.19453679450777E-4,0.19538279953404528,2.4452414361744257E-4,0.20094467361541157
-6.36674409612387E-4,0.19193382447829616,2.132154372755277E-4,0.22479000936698554
-0.0067577365931073,-0.1489874277159426,0.0012043648315794562,0.01660281040793521
0.0067916581783731625,-0.5921666022076015,7.660806730751767E-4,0.0142193946383611
0.0010313723299278208,0.1330810494955266,4.4296971166398087E-4,0.1892471982603727
-9.307119654310702E-4,0.16697918907980622,0.0014526218837682824,-0.578908098579766
-0.007328702517357597,-0.18343992973037243,0.001737042446092312,-0.611740361973317
0.007406620717983165,-0.5916434684353348,0.002153767024242482,-0.7823898824401583
0.0018474872598819706,0.08909879283935886,5.982793860007074E-4,0.15693102157546227
0.0015352115956214214,0.10218920592520149,7.08911236013116E-4,0.16041535625314896
-0.0012686131290074235,0.14344387018398244,0.0025980965079498717,-0.7858266255220593
-0.007863236627049401,-0.21130853340448658,9.80675702161842E-4,0.11646013938852377
0.00790906229780483,-0.5915994641992455,0.003022021882952576,-0.7434692114713698
0.0024031810136812904,0.06177247042108014,0.0014193662316898626,0.07569832504344164
0.002053709262758216,0.07145512260879265,0.003347049088448545,-0.719294214404795
-0.0020126102447026073,0.10996422699272186,0.0036486139343880775,-0.707277132581122
-0.0017064753557757362,0.11924121331471951,0.0018770159404162801,0.03862734391947067
-0.00821037237131058,-0.23747141924909634,0.004146427694082444,-0.6384185697530111
0.00821686994502855,-0.5712962224700339,0.00392998720628177,-0.643656513325529
0.003121800958038844,0.021377973008716463,0.0043025222688059875,-0.5778178549808908
0.002677057769643253,0.0345656282788908,0.0028993946543033064,-0.0741419702616821
0.0038271586397896204,-0.02584911728333294,0.00242034648156109,0.004228073660733438
-0.0027145562425611716,0.08567695179609383,0.003483406619050118,-0.1607057203470837
-0.002242898777585809,0.09138202371438214,0.003967953256229034,-0.27256639370053615
-0.008235825336700246,-0.23835279735673887,0.004270748965064026,-0.43300222080201417
0.004679318993003447,-0.07432140522798458,0.004328091561363814,-0.45763314718750675
0.005696243979548541,-0.13874078504973278,0.003167871641866075,-0.07459516477720202
0.007201837821313331,-0.25898620694849495,0.0037614598136473747,-0.1730581796804811
0.00828996925481339,-0.5354253557427386,0.004158985698166827,-0.2956504503044738
-0.0034750548005740038,0.047998809089002614,null,null
-0.004411547736269556,0.00530261195384787,null,null
-0.005402852848471916,-0.0402950426930775,null,null
-0.006457459453648191,-0.09630973432610929,null,null
-0.007420089507908203,-0.16391086224454202,null,null
-0.008001355334019144,-0.21347823312252104,null,null
0.006714347365643827,-0.23497990656610782,null,null
0.007527808804972604,-0.3326130711466578,null,null
0.008053573155656003,-0.44885719021572523,null,null
