"Iteration","c_d Monitor: c_d Monitor","c_l Monitor: c_l Monitor"
1.0,0.6099157220863456,-0.020619316844052066
2.0,0.6627573500836212,0.20611296870616366
3.0,0.5358316608282614,0.21132655064778255
4.0,0.41410071594384773,0.17771836624323123
5.0,0.3624731585133867,0.16228299958619474
6.0,0.32784539688886155,0.1596862922788197
7.0,0.30280967753073845,0.1600802966022454
8.0,0.28292507868054717,0.16050951601446367
9.0,0.26591568074337874,0.16027013721546174
10.0,0.25066037273747566,0.15937769313969952
11.0,0.23651401887043133,0.15790751021007524
12.0,0.22313848869828115,0.1558954208948238
13.0,0.21038566373651182,0.1533831650481643
14.0,0.19822671422200014,0.1504807635355543
15.0,0.1866924813486209,0.14734825280671232
16.0,0.1758357364865816,0.14417150553668942
17.0,0.16572214723102702,0.14113370018152638
18.0,0.15641182618862062,0.13840263002907394
19.0,0.14793862524016768,0.13612775808616268
20.0,0.14030246638958702,0.13442290959297445
21.0,0.13348216273632432,0.13335308300451407
22.0,0.12744641335313447,0.132939240929651
23.0,0.12215755698220748,0.1331557275413838
24.0,0.11756973760722461,0.13392445178134174
25.0,0.11362422088202272,0.13513647728995445
26.0,0.11024433028452744,0.13669207346512757
27.0,0.10733246165769152,0.1384864572502323
28.0,0.10477386502487726,0.14041541979853608
29.0,0.10244855501260623,0.14238635574462408
30.0,0.10024197817877409,0.1443266460744919
31.0,0.09805540793942845,0.14619719173936194
32.0,0.09581066307246272,0.1479714476845274
33.0,0.0934527759408921,0.14964207476070607
34.0,0.09094896058209134,0.15121452059604162
35.0,0.08828650016803512,0.15271581112336535
36.0,0.08546881114584981,0.15418802270388918
37.0,0.08251061856071312,0.15567333583371198
38.0,0.07943558884835847,0.157209890424126
39.0,0.07627451445672069,0.15883503942874214
40.0,0.07306404847947731,0.16058778092537868
41.0,0.06984463913398893,0.16249987658840462
42.0,0.06665763121625883,0.16459400849790154
43.0,0.06354441927551034,0.16688271059999454
44.0,0.060544977668652196,0.16936399107440486
45.0,0.05769810960310794,0.17202202011889176
46.0,0.05503853786025853,0.17482720220158954
47.0,0.05259404360120031,0.1777345320940595
48.0,0.05038338047638656,0.18070143290268278
49.0,0.048417943771964456,0.18368635277437437
50.0,0.04669991228382384,0.18664349767511382
51.0,0.04522118897764973,0.18952822651201132
52.0,0.0439641649823721,0.19229275117332428
53.0,0.04290397417112123,0.19489257872951107
54.0,0.04201074355143645,0.1972941487546287
55.0,0.0412523338249828,0.19947167215642905
56.0,0.04059544854229313,0.20141117398296327
57.0,0.040007818835024994,0.2031132218621043
58.0,0.03946047661599709,0.20458658327161816
59.0,0.038928542888445536,0.20585195597076741
60.0,0.038390590993171596,0.20692479485977228
61.0,0.037829972276602994,0.2078216237654324
62.0,0.03723490302946157,0.2085599966906294
63.0,0.036598125270006894,0.20915503256467713
64.0,0.0359170285292667,0.20962401967441047
65.0,0.03519197119648346,0.20997916189767485
66.0,0.03442556324768752,0.21022959770179409
67.0,0.03362296068929707,0.21038143794682013
68.0,0.03279118344027353,0.210440929179766
69.0,0.03193838317183882,0.21041375323306194
70.0,0.031072988571992644,0.21030035931832977
71.0,0.03020374631757896,0.21010565906493725
72.0,0.029339163672864176,0.20983716113947568
73.0,0.028488152799217903,0.20949793682948314
74.0,0.02765909476771033,0.209094722597433
75.0,0.026859079447626003,0.20863011465579454
76.0,0.026094750822422005,0.20810767727162385
77.0,0.02537206945868893,0.2075358761401558
78.0,0.02469620775789214,0.20692080347416394
79.0,0.024071302348332504,0.20627076746230288
80.0,0.02350016873709461,0.2055905447804748
81.0,0.022984356506520375,0.20488782245001366
82.0,0.022524642551879092,0.20416845703924358
83.0,0.02212150965602553,0.20344290036813545
84.0,0.0217748217425394,0.20272286926090274
85.0,0.021483337955159502,0.20202112359771177
86.0,0.02124481753978595,0.20134518415714528
87.0,0.02105643984815822,0.20070100432184046
88.0,0.020915325807583398,0.2000971588879535
89.0,0.020818061098710382,0.19953825764104235
90.0,0.020760963025000013,0.19902763814508512
91.0,0.02073991837245516,0.19857215570315517
92.0,0.02075057476919065,0.19817316256446232
93.0,0.020788007524252188,0.19783173316713096
94.0,0.020847445814393996,0.1975486086549798
95.0,0.02092422263667327,0.19732359408239095
96.0,0.021013483547057735,0.19715273481978382
97.0,0.02111106570871891,0.19703158017957753
98.0,0.021213208726317906,0.19695489377278969
99.0,0.021316581541430343,0.19691406254013075
100.0,0.02141820683596069,0.1969073705924042
101.0,0.02151584821475797,0.19693739570444946
102.0,0.021607616125458296,0.1969985724388014
103.0,0.021691965336451322,0.19708527915846646
104.0,0.021767137646691886,0.19719088750562372
105.0,0.0218316563585055,0.19730860429857308
106.0,0.021884962926885493,0.19743578299817302
107.0,0.021926699007977758,0.1975737720104629
108.0,0.021956845126472176,0.19772204181179912
109.0,0.02197583537797894,0.19788474270060527
110.0,0.021983651080698764,0.19806335876931988
111.0,0.021980353227318422,0.1982529770906893
112.0,0.02196571697834688,0.1984472616430123
113.0,0.021939693798188744,0.19864140931219118
114.0,0.021901896007272024,0.1988308411182281
115.0,0.02185186075951675,0.19901161170395812
116.0,0.021789439324376242,0.1991839545670051
117.0,0.021714382320888525,0.19934797577404453
118.0,0.02162647476729688,0.1995037629436825
119.0,0.0215254868069975,0.19965476623005285
120.0,0.021411190795006946,0.19980358024105374
121.0,0.021283753483576306,0.1999535449297474
122.0,0.021143438914242203,0.20010620528328257
123.0,0.020990595514075113,0.20026383629902827
124.0,0.02082583736147033,0.20042492977170873
125.0,0.020649729172421128,0.20058968798905877
126.0,0.020463117372840456,0.20075891245337105
127.0,0.02026721696953634,0.20092927032116115
128.0,0.020063291077292822,0.20109868631904831
129.0,0.0198526317870612,0.2012642165172709
130.0,0.01963664651938492,0.20142288580183423
131.0,0.019416737618963092,0.20156922505702016
132.0,0.019194593314661806,0.20169886840132784
133.0,0.018971556226368674,0.2018070202260694
134.0,0.018748917513049055,0.20189184948005345
135.0,0.018527667688545333,0.20194769635100884
136.0,0.018308938966279394,0.2019715004374078
137.0,0.018093630319700005,0.2019603999955248
138.0,0.017882112290160387,0.20190840289580977
139.0,0.0176751635951459,0.20181386733591658
140.0,0.017473142889551152,0.20167351271478828
141.0,0.017276672597357635,0.2014862278048372
142.0,0.01708624283045814,0.2012528321559447
143.0,0.016902399635337344,0.20097613915624638
144.0,0.016725542280060495,0.2006557352369294
145.0,0.01655625359074937,0.2002954994207849
146.0,0.016395250506219528,0.19989821314514333
147.0,0.016242880704152023,0.1994670836892657
148.0,0.01609987809266284,0.1990065053927999
149.0,0.01596670610834971,0.19852046408574162
150.0,0.015844104413025688,0.19801107683505065
151.0,0.015732642856898585,0.19748331718655593
152.0,0.015633039627525647,0.19694107406791042
153.0,0.015545837352767712,0.19638675124080696
154.0,0.01547152339025349,0.19582177443156853
155.0,0.015410546129197993,0.1952470081563842
156.0,0.015363393861378116,0.1946640165771491
157.0,0.015330236003230413,0.1940730375044843
158.0,0.015311336553340327,0.19347506612001714
159.0,0.01530690603823211,0.1928711328310169
160.0,0.015317067796325773,0.1922623004816269
161.0,0.015342092234226666,0.19165167949868914
162.0,0.01538211313183488,0.19104212104230117
163.0,0.01543692890588333,0.1904351250044363
164.0,0.015506394016404457,0.1898325019271875
165.0,0.015590146852170347,0.1892340253792481
166.0,0.015687870144040158,0.18864260996864807
167.0,0.015799038546165226,0.18805931658048447
168.0,0.015922940646338642,0.1874854084029186
169.0,0.01605912524413733,0.18692248919519314
170.0,0.01620733841196163,0.18637494728944579
171.0,0.01636678428297666,0.18584330287720277
172.0,0.01653665473277686,0.18532921544920236
173.0,0.016716053381806772,0.18483285454166484
174.0,0.016904283574373756,0.18435640269851492
175.0,0.01710054612716423,0.18390060868912184
176.0,0.01730384834195227,0.18346672259564115
177.0,0.01751348027743549,0.18305545757270333
178.0,0.017728490965377524,0.18266820629201047
179.0,0.017947983648702245,0.18230634674825516
180.0,0.0181709995029188,0.18196917573735055
181.0,0.018396678295829364,0.1816569853574728
182.0,0.018624106251922297,0.18137061679160155
183.0,0.01885253165670382,0.1811109909414453
184.0,0.019081216955274972,0.18088000488725764
185.0,0.019309166313235624,0.1806767420166698
186.0,0.01953555497049396,0.18050034940184137
187.0,0.01975940958379941,0.18035002262993388
188.0,0.019979890831398436,0.18022495090515425
189.0,0.020196295047243726,0.18012506255552369
190.0,0.020407907223444655,0.180049885483643
191.0,0.02061416698898113,0.17999960243740354
192.0,0.02081436845943044,0.17997269377700775
193.0,0.021007886112129864,0.17996849208205545
194.0,0.021194096447659835,0.17998545513196385
195.0,0.021372282960104638,0.18002193290683613
196.0,0.021541978269828066,0.18007713271658538
197.0,0.021702780938826917,0.18015060032406305
198.0,0.021854473295711024,0.18024265297728106
199.0,0.02199680040951152,0.18035337249398298
200.0,0.022129544628410422,0.18048310512899732
201.0,0.022252332995953125,0.18063126664697085
202.0,0.022364817787881408,0.1807950448770379
203.0,0.02246669047098673,0.18097219522989805
204.0,0.02255773040343178,0.18116099215280276
205.0,0.022637826004995643,0.1813620639943776
206.0,0.02270696573547655,0.18157542779477126
207.0,0.02276521070377544,0.18180188418288246
208.0,0.02281270654713249,0.18204163051780087
209.0,0.02284945680529243,0.1822937871879266
210.0,0.022875528750310004,0.18255871249392208
211.0,0.02289087810698524,0.1828352490877009
